"Year","LogAuctionIndex","WinterRain","HarvestRain","GrowTemp","HarvestTemp","Age","FrancePop","USAlcConsump"
1952,7.495,566.4,165.5,17.28,14.39,63,42.46,7.85
1953,8.0393,653.3,75.6,16.94,17.64,62,42.75,8.03
1955,7.6858,504.3,129.5,17.3,17.13,60,43.43,7.84
1957,6.9845,390.8,110.4,16.31,16.47,58,44.31,7.77
1958,6.7772,538.8,187,16.82,19.72,57,44.79,7.74
1959,8.0757,377,182.6,17.68,19.28,56,45.24,7.89
1960,6.5188,748.2,290.6,16.67,16.18,55,45.68,8.02
1961,8.4937,747.8,37.7,17.64,21.05,54,46.16,8.08
1962,7.388,639.4,51.8,16.58,17.86,53,47,8.13
1964,7.3094,326.5,96.1,17.63,19.43,51,48.31,8.46
1965,6.2518,548.4,266.6,15.71,15.33,50,48.76,8.62
1966,7.7443,734,85.2,16.81,18.82,49,49.16,8.78
1967,6.8398,646.9,118.1,16.51,17.16,48,49.55,9.03
1968,6.2435,508.6,292.1,16.37,16.77,47,49.91,9.28
1969,6.3459,480.1,243.9,16.65,16.89,46,50.32,9.53
1970,7.5883,563.5,88.8,16.92,18.69,45,50.77,9.78
1971,7.1934,488.4,111.9,17.2,17.28,44,51.25,9.99
1972,6.2049,465.1,157.3,15.27,15.04,43,51.7,10.1
1973,6.6367,357.2,122.6,17.41,18.5,42,52.12,10.37
1974,6.2941,503.6,185.1,16.39,16.48,41,52.46,10.48
1975,7.292,501.8,170.5,17.23,17.75,40,52.7,10.58
1976,7.1211,380.6,246.7,17.84,16.6,39,52.91,10.44
1977,6.2587,755.2,87.3,15.92,17.24,38,53.15,10.47
1978,7.186,621.5,50.6,16.14,17.77,37,53.38,10.64
1979,6.9541,600.3,121.5,16.5,17.83,36,53.61,10.83
1980,6.4979,550.7,74.2,16.34,18.91,35,53.88,10.95
1981,7.1015,497.8,110.9,17.28,18.54,34,54.18,10.95
1982,7.4699,708.7,162.2,17.67,19.07,33,54.49,10.7
1983,8.1336,698.3,119.3,17.87,18.57,32,54.77,10.46
1984,6.5496,572.6,144.8,16.71,16.24,31,55.03,10.22
1985,6.9171,667.1,37.2,17.19,19.56,30,55.28,9.88
1986,6.7793,518.5,171.2,16.65,17.86,29,55.58,9.75
1987,7.1797,397,115.1,17.84,20.7,28,55.82,9.52
1988,7.2646,734.2,58.8,17.65,18.05,27,56.12,9.3
1989,7.5922,282.4,85.2,18.62,18.4,26,56.42,9.09
1990,8.4469,380.6,80.4,18.78,19.35,25,56.71,9.08
1991,6.8596,519.8,182.5,18.08,20.7,24,56.98,8.57
1992,5.8685,487.8,341.6,18,17.34,23,57.24,8.47
1993,6.1254,445,278.9,17.51,16.67,22,57.47,8.25
1994,7.801,708,220,18.22,17.11,21,57.66,8.15
1995,7.5722,572,170.8,18.42,16.47,20,57.84,8.08
1996,6.8441,636.2,256,17.79,16.56,19,58.03,8.21
1997,7.9182,460.5,112.2,19.1,19.96,18,58.21,8.07
1998,6.8582,693.4,197,18.3,18.9,17,58.4,8.1
1999,7.4462,502.4,253.4,19.07,20.05,16,58.66,8.17
2000,8.1817,487.8,69,18.73,19.45,15,59.05,8.24
